-26.748650508067755, -49.091379549241616, 1, 1;
-26.748817574022738, -49.091588326661714, 1, 0;
-26.7483478517269, -49.09156392410612, 1, 1;
-26.748727987961463, -49.09146766958127, 1, 1;
-26.74853792000308, -49.09146631388373, 1, 1;
-26.748845418324695, -49.09145546830347, 1, 1;
-26.748476178113833, -49.091550367130786, 1, 1;
-26.748845418324695, -49.09145546830347, 1, 0;
-26.749014905232993, -49.09158561526665, 1, 0;
-26.748727987961463, -49.09146766958127, 1, 0;
-26.748600872483085, -49.091599172241985, 1, 0;
-26.748650508067755, -49.091379549241616, 1, 0;
